id,nome,tipos,base stats
1,Bulbasaur,GRASS|POISON,45|49|49|65|65|45
2,Ivysaur,GRASS|POISON,60|62|63|80|80|60
3,Venusaur,GRASS|POISON,80|82|83|100|100|80
4,Charmander,FIRE,39|52|43|60|50|65
5,Charmeleon,FIRE,58|64|58|80|65|80
6,Charizard,FIRE|FLYING,78|84|78|109|85|100
7,Squirtle,WATER,44|48|65|50|64|43
8,Wartortle,WATER,59|63|80|65|80|58
9,Blastoise,WATER,79|83|100|85|105|78
10,Caterpie,BUG,45|30|35|20|20|45
11,Metapod,BUG,50|20|55|25|25|30
12,Butterfree,BUG|FLYING,60|45|50|90|80|70
13,Weedle,BUG|POISON,40|35|30|20|20|50
14,Kakuna,BUG|POISON,45|25|50|25|25|35
15,Beedrill,BUG|POISON,65|90|40|45|80|75
16,Pidgey,NORMAL|FLYING,40|45|40|35|35|56
17,Pidgeotto,NORMAL|FLYING,63|60|55|50|50|71
18,Pidgeot,NORMAL|FLYING,83|80|75|70|70|101
19,Rattata,NORMAL,30|56|35|25|35|72
20,Raticate,NORMAL,55|81|60|50|70|97
21,Spearow,NORMAL|FLYING,40|60|30|31|31|70
22,Fearow,NORMAL|FLYING,65|90|65|61|61|100
23,Ekans,POISON,35|60|44|40|54|55
24,Arbok,POISON,60|95|69|65|79|80
25,Pikachu,ELECTRIC,35|55|40|50|50|90
26,Raichu,ELECTRIC,60|90|55|90|80|110
27,Sandshrew,GROUND,50|75|85|20|30|40
28,Sandslash,GROUND,75|100|110|45|55|65
29,Nidoran F,POISON,55|47|52|40|40|41
30,Nidorina,POISON,70|62|67|55|55|56
31,Nidoqueen,POISON|GROUND,90|92|87|75|85|76
32,Nidoran M,POISON,46|57|40|40|40|50
33,Nidorino,POISON,61|72|57|55|55|65
34,Nidoking,POISON|GROUND,81|102|77|85|75|85
35,Clefairy,FAIRY,70|45|48|60|65|35
36,Clefable,FAIRY,95|70|73|95|90|60
37,Vulpix,FIRE,38|41|40|50|65|65
38,Ninetales,FIRE,73|76|75|81|100|100
39,Jigglypuff,NORMAL|FAIRY,115|45|20|45|25|20
40,Wigglytuff,NORMAL|FAIRY,140|70|45|85|50|45
41,Zubat,POISON|FLYING,40|45|35|30|40|55
42,Golbat,POISON|FLYING,75|80|70|65|75|90
43,Oddish,GRASS|POISON,45|50|55|75|65|30
44,Gloom,GRASS|POISON,60|65|70|85|75|40
45,Vileplume,GRASS|POISON,75|80|85|110|90|50
46,Paras,BUG|GRASS,35|70|55|45|55|25
47,Parasect,BUG|GRASS,60|95|80|60|80|30
48,Venonat,BUG|POISON,60|55|50|40|55|45
49,Venomoth,BUG|POISON,70|65|60|90|75|90
50,Diglett,GROUND,10|55|25|35|45|95
51,Dugtrio,GROUND,35|100|50|50|70|120
52,Meowth,NORMAL,40|45|35|40|40|90
53,Persian,NORMAL,65|70|60|65|65|115
54,Psyduck,WATER,50|52|48|65|50|55
55,Golduck,WATER,80|82|78|95|80|85
56,Mankey,FIGHTING,40|80|35|35|45|70
57,Primeape,FIGHTING,65|105|60|60|70|95
58,Growlithe,FIRE,55|70|45|70|50|60
59,Arcanine,FIRE,90|110|80|100|80|95
60,Poliwag,WATER,40|50|40|40|40|90
61,Poliwhirl,WATER,65|65|65|50|50|90
62,Poliwrath,WATER|FIGHTING,90|95|95|70|90|70
63,Abra,PSYCHIC,25|20|15|105|55|90
64,Kadabra,PSYCHIC,40|35|30|120|70|105
65,Alakazam,PSYCHIC,55|50|45|135|95|120
66,Machop,FIGHTING,70|80|50|35|35|35
67,Machoke,FIGHTING,80|100|70|50|60|45
68,Machamp,FIGHTING,90|130|80|65|85|55
69,Bellsprout,GRASS|POISON,50|75|35|70|30|40
70,Weepinbell,GRASS|POISON,65|90|50|85|45|55
71,Victreebel,GRASS|POISON,80|105|65|100|70|70
72,Tentacool,WATER|POISON,40|40|35|50|100|70
73,Tentacruel,WATER|POISON,80|70|65|80|120|100
74,Geodude,ROCK|GROUND,40|80|100|30|30|20
75,Graveler,ROCK|GROUND,55|95|115|45|45|35
76,Golem,ROCK|GROUND,80|120|130|55|65|45
77,Ponyta,FIRE,50|85|55|65|65|90
78,Rapidash,FIRE,65|100|70|80|80|105
79,Slowpoke,WATER|PSYCHIC,90|65|65|40|40|15
